"left","right"
"#Younger,","#AmericanHorrorSt…"
"#NCIS,","#AmericanHorrorSt…"
"#Aliens","#NWO"
"#Aliens","#XYZ"
"#Aliens","#FakeNews"
"#Aliens","#Disinfo"
"#Aliens","#Misinfo"
"#Aliens","#CERN"
"#Aliens","#Democracy"
"#FakeNews","#Disinfo"
"#FakeNews","#Misinfo"
"#FakeNews","#CERN"
"#FakeNews","#NWO"
"#FakeNews","#Democracy"
"#FakeNews","#XYZ"
"#Disinfo","#Misinfo"
"#Disinfo","#CERN"
"#Disinfo","#NWO"
"#Disinfo","#Democracy"
"#Disinfo","#XYZ"
"#Misinfo","#CERN"
"#Misinfo","#NWO"
"#Misinfo","#Democracy"
"#Misinfo","#XYZ"
"#CERN","#NWO"
"#CERN","#Democracy"
"#CERN","#XYZ"
"#NWO","#Democracy"
"#Democracy","#XYZ"
"#FredWard","#TV…"
"#actor","#TV…"
"#Tremors","#TV…"
"#nakedgun","#TV…"
"#EscapefromAlcatraz","#TV…"
"#Movies","#TV…"
"#FILM","#TV…"
"#sosick","#dying"
"#Suits","#ODAAT"
"#Suits","#Arrow"
"#Suits","#GameofThrones"
"#Suits","#ChicagoFire…"
"#ODAAT","#Arrow"
"#ODAAT","#GameofThrones"
"#ODAAT","#ChicagoFire…"
"#Arrow","#GameofThrones"
"#Arrow","#ChicagoFire…"
"#GameofThrones","#ChicagoFire…"
"#newyear","#advice"
"#newyear","#lifequotes"
"#advice","#lifequotes"
"#pll","#Quantico"
"#freakinglovethisshow","#thanksnetflix"
"#japril","#aprilkepner"
"#japril","#jacksonavery"
"#aprilkepner","#jacksonavery"
"#McSteamy","#McDreamy"
"#Yes","#NewYear2018"
"#Yes","#LetsDoThis"
"#NewYear2018","#LetsDoThis"
"#MeredithGrey","#AddisonMontgomery"
"#MeredithGrey","#DerekShepherd"
"#AddisonMontgomery","#DerekShepherd"
"#callietorres","#OBSESSED"
"#kiss","#AlexKarev"
"#kiss","#TheresAQuoteForThat"
"#AlexKarev","#TheresAQuoteForThat"
"#Netflix..","#13ReasonsWhy"
"#Ad","#scandal"
"#bixesual","#LGBTQ<ed><U+00A0><U+00BC><ed><U+00BC><U+0088>"
